what	PRI.div.model	PRI.model	PRI.Psi	PRI.E.t	PRI.omega
mode	60.3587	1.9781	4.0138	0.180111	0.230323
mean	0.183717	0.494494	0.18667	0.569988	0.385846
median	63.0798	1.97799	3.90212	0.174017	0.223523
quantile_50_lower_bound	28.72	1.93988	3.22334	0.139468	0.145206
quantile_50_upper_bound	113.912	2.01611	4.23855	0.180626	0.23333
quantile_90_lower_bound	11.2923	1.88505	1.97357	0.105197	0.0652074
quantile_90_upper_bound	221.858	2.07094	6.99595	0.186369	0.258717
quantile_95_lower_bound	8.07494	1.86724	1.77666	0.100294	0.0503571
quantile_95_upper_bound	232.419	2.08875	7.2032	0.189184	0.267037
quantile_99_lower_bound	3.30743	1.83244	1.44416	0.0849687	0.0159331
quantile_99_upper_bound	243.553	2.12357	7.49563	0.198668	0.320457
HPD_50_lower_bound	13.2493	1.94009	3.58956	0.141022	0.177322
HPD_50_upper_bound	117.786	2.0157	4.41494	0.18628	0.242015
HPD_90_lower_bound	2.22932	1.88529	1.73507	0.10163	0.0583026
HPD_90_upper_bound	236.723	2.07051	7.25443	0.189697	0.267657
HPD_95_lower_bound	0.999996	1.86729	1.59646	0.0986587	0.0464157
HPD_95_upper_bound	240.63	2.08851	7.40354	0.193586	0.319969
HPD_99_lower_bound	0.999999	1.83248	1.34653	0.0848535	0.00289571
HPD_99_upper_bound	244.45	2.12331	7.63036	0.198501	0.326699
